action_id,seller_name,seller_country_iso,target_name,acquirer_name,announce_date,completion_or_termination_date,deal_status,deal_type,percent_sought,transaction_stake_category,days_from_rupture_to_recorded_resolution,days_from_announcement_to_recorded_resolution,reported_value_millions,reported_value_currency,reported_value_source,deal_description
230339312,Crism Therapeutics Corp,VG,Kun-Manie Nickel/Copper Deposit,Stanmix Holding Ltd,2022-05-09,,Pending,AST,100,full_interest_offered,,,105,USD,Current/Completed Total Value,Crism Therapeutics Corp announced the sale of Kun-Manie Nickel/Copper Deposit to Stanmix Holding Ltd for USD 105.00M. The transaction was announced on 5/9/2022 and is currently pending.
230370893,Alstom SA,FR,Transmashholding ZAO,Unnamed Buyer,2023-11-17,2024-01-31,Completed,INV,20,shared_interest_offered,706,75,81.38,EUR,Current/Completed Total Value,Alstom SA sold a minority stake in Transmashholding ZAO to Unnamed Buyer. The transaction was announced on 11/17/2023 and completed on 1/31/2024.
230388393,Fortum Oyj,FI,Russia Assets/Fortum Oyj,Potential Buyer,2022-05-12,2022-11-14,Withdrawn,AST,100,full_interest_offered,263,186,,RUB,,Fortum Oyj announced the sale of Russia Assets/Fortum Oyj to Potential Buyer. Financial terms of the transaction are undisclosed.
230388442,EPAM Systems Inc,US,Russian Assets/EPAM System Inc,Unnamed Buyer,2022-05-12,,Pending,AST,100,full_interest_offered,,,,RUB,,EPAM Systems Inc announced the sale of Russian Assets/EPAM System Inc to Unnamed Buyer. The transaction was announced on 5/12/2022 and is currently pending. Financial terms of the transaction are undisclosed.
230426815,Authentic Brands Group Inc,US,100 stores/Russia,FLO Magazacilik Ve Pazarlama AS,2022-05-16,2022-11-16,Withdrawn,AST,100,full_interest_offered,265,184,,RUB,,Authentic Brands Group Inc announced the sale of 100 stores/Russia to FLO Magazacilik Ve Pazarlama AS. Financial terms of the transaction are undisclosed.
230441757,PPF Group NV,NL,"Home Credit & Finance Bank OOO,Banking Assets/Russia",Investor Group,2022-05-17,2022-09-07,Completed,AST,100,full_interest_offered,195,113,,RWF,,PPF Group NV sold Home Credit & Finance Bank OOO & Banking Assets/Russia to Investor Group. The transaction was announced on 5/17/2022 and completed on 9/7/2022. Financial terms of the transaction are undisclosed.
230470687,Arconic Corp,US,Operations facility/Russia,VSMPO-AVISMA Corp PJSC,2022-05-19,2022-11-15,Completed,AST,0,unclassified,264,180,230,USD,Current/Completed Total Value,Arconic Corp sold Operations facility/Russia to VSMPO-AVISMA Corp PJSC for USD 230.00M. The transaction was announced on 5/19/2022 and completed on 11/15/2022.
230494784,Levi Strauss & Co,US,Russian Retail shops/ Levi Strauss,Potential Buyer,2022-05-23,2022-11-23,Withdrawn,AST,,unclassified,272,184,,USD,,Levi Strauss & Co announced the sale of Russian Retail shops/ Levi Strauss to Potential Buyer. Financial terms of the transaction are undisclosed.
230511378,Zurich Insurance Group AG,CH,Zurich Russia,Private Investor,2022-05-24,,Pending,AST,,unclassified,,,,USD,,Zurich Insurance Group AG announced the sale of Zurich Russia to Private Investor. The transaction was announced on 5/24/2022 and is currently pending. Financial terms of the transaction are undisclosed.
230568125,DELFINGEN,FR,Delfingen Russian Plant,Unnamed Buyer,2022-05-30,2022-05-30,Completed,AST,100,full_interest_offered,95,0,,EUR,,DELFINGEN sold Delfingen Russian Plant to Unnamed Buyer. The transaction was completed on 5/30/2022. Financial terms of the transaction are undisclosed.
230611586,OC Oerlikon Corp AG,CH,Russia assets/OC Oerlikon,Management Group,2022-06-02,,Pending,AST,100,full_interest_offered,,,,CHF,,OC Oerlikon Corp AG announced the sale of Russia assets/OC Oerlikon to Management Group. The transaction was announced on 6/2/2022 and is currently pending. Financial terms of the transaction are undisclosed.
230758345,Enel SpA,IT,EL5-ENERO PJSC,"LUKOIL PJSC,Gazprombank JSC",2022-06-16,2022-10-12,Completed,M&A,56.43,shared_interest_offered,230,118,558.73,EUR,Current/Completed Total Value,Enel SpA sold EL5-ENERO PJSC to a consortium led by LUKOIL PJSC for EUR 576.97M. The transaction was announced on 6/16/2022 and completed on 10/12/2022.
230863672,Kone Oyj,FI,Bussiness in Russia / Kone,S8 Capital AO,2022-06-28,2023-10-24,Completed,AST,100,full_interest_offered,607,483,,RUB,,Kone Oyj sold Bussiness in Russia / Kone to S8 Capital AO. The transaction was announced on 6/28/2022 and completed on 10/24/2023. Financial terms of the transaction are undisclosed.
230863890,Cie Generale des Etablissements Michelin SCA,FR,Russian operation,Management Group,2022-06-28,2022-12-28,Withdrawn,AST,100,full_interest_offered,307,183,,RUB,,Cie Generale des Etablissements Michelin SCA announced the sale of Russian operation to Management Group. Financial terms of the transaction are undisclosed.
230964243,HSBC Holdings PLC,GB,Russian unit/HSBC Holdings Plc,Expobank LLC,2022-07-21,2024-06-30,Pending,AST,100,full_interest_offered,857,710,,USD,,HSBC Holdings PLC announced the sale of Russian unit/HSBC Holdings Plc to Expobank LLC. The transaction was announced on 7/21/2022 and is expected to be completed by 6/30/2024. Financial terms of the transaction are undisclosed.
231006351,LVMH Moet Hennessy Louis Vuitton SE,FR,Sephora Russia,Unnamed Buyer,2022-07-11,,Pending,AST,100,full_interest_offered,,,,EUR,,LVMH Moet Hennessy Louis Vuitton SE announced the sale of Sephora Russia to Unnamed Buyer. The transaction was announced on 7/11/2022 and is currently pending. Financial terms of the transaction are undisclosed.
231055122,Danfoss A/S,DK,Russian business/Danfoss,Management Group,2022-07-15,2022-09-30,Pending,AST,100,full_interest_offered,218,77,,USD,,Danfoss A/S announced the sale of Russian business/Danfoss to Management Group. The transaction was announced on 7/15/2022 and is expected to be completed by 9/30/2022. Financial terms of the transaction are undisclosed.
231162202,Otis Worldwide Corp,US,Russia business/Otis Worldwide Corp,S8 Capital AO,2022-07-27,,Pending,AST,100,full_interest_offered,,,,RUB,,Otis Worldwide Corp announced the sale of Russia business/Otis Worldwide Corp to S8 Capital AO. The transaction was announced on 7/27/2022 and is currently pending. Financial terms of the transaction are undisclosed.
231173107,Volkswagen AG,DE,Car assembly site/Russia,Asia Auto,2022-07-28,2023-01-30,Withdrawn,AST,100,full_interest_offered,340,186,,EUR,,Volkswagen AG announced the sale of Car assembly site/Russia to Asia Auto. Financial terms of the transaction are undisclosed.
231189592,Kraft Heinz Co/The,US,Baby food business/Russia,GK Chernogolovka AO,2023-03-31,2024-03-19,Completed,AST,100,full_interest_offered,754,354,,USD,,Kraft Heinz Co/The sold Baby food business/Russia to GK Chernogolovka AO. The transaction was announced on 3/31/2023 and completed on 3/19/2024. Financial terms of the transaction are undisclosed.
231195866,Koch Industries Inc,US,Portfolio of 2 glass plants unit/Russia,Private Investor,2022-07-29,2022-07-29,Completed,AST,100,full_interest_offered,155,0,,RUB,,Koch Industries Inc sold Portfolio of 2 glass plants unit/Russia to Private Investor. The transaction was completed on 7/29/2022. Financial terms of the transaction are undisclosed.
231222378,Baker Hughes Co,US,Oilfield Services Unit/Russia,Management Group,2022-08-01,2022-12-31,Pending,AST,100,full_interest_offered,310,152,,USD,,Baker Hughes Co announced the sale of Oilfield Services Unit/Russia to Management Group. The transaction was announced on 8/1/2022 and is expected to be completed by 12/31/2022. Financial terms of the transaction are undisclosed.
231280102,Crism Therapeutics Corp,VG,Kun-Manie project/Russia,Bering Metals LLC,2022-08-05,2023-03-06,Completed,M&A,100,full_interest_offered,375,213,35,USD,Current/Completed Total Value,Crism Therapeutics Corp sold Kun-Manie project/Russia to Bering Metals LLC for USD 35.00M. The transaction was announced on 8/5/2022 and completed on 3/6/2023.
231304715,Kahrs Holding AB,SE,Business operation/Russia,Potential Buyer,2022-08-09,2023-02-09,Withdrawn,AST,100,full_interest_offered,350,184,,RUB,,Kahrs Holding AB announced the sale of Business operation/Russia to Potential Buyer. Financial terms of the transaction are undisclosed.
231349945,Mondi PLC,GB,Mondi Syktyvkar OAO,Augment Investments Ltd,2022-08-12,2023-06-05,Terminated,M&A,100,full_interest_offered,466,297,1545.65,RUB,Current/Completed Total Value,Mondi PLC announced the sale of Mondi Syktyvkar OAO to Augment Investments Ltd for RUB 95000.00M. The transaction was announced on 8/12/2022 and terminated on 6/5/2023.
231445788,Ansell Ltd,AU,Russian business/Ansell Ltd,Perspectiva ZAO,2023-04-20,2023-04-20,Completed,AST,100,full_interest_offered,420,0,,RUB,,Ansell Ltd sold Russian business/Ansell Ltd to Perspectiva ZAO. The transaction was completed on 4/20/2023. Financial terms of the transaction are undisclosed.
231473228,TotalEnergies SE,FR,Terneftegas ZAO,Novatek PJSC,2022-07-18,2022-08-26,Completed,M&A,49,shared_interest_offered,183,39,,USD,,TotalEnergies SE sold Terneftegas ZAO to Novatek PJSC. The transaction was announced on 7/18/2022 and completed on 8/26/2022. Financial terms of the transaction are undisclosed.
231488652,Nokian Renkaat Oyj,FI,Russian plant/Nokian Renkaat Oyj,Tatneft PJSC,2022-08-29,2023-03-30,Completed,AST,100,full_interest_offered,399,213,436.2,EUR,Current/Completed Total Value,Nokian Renkaat Oyj sold Russian plant/Nokian Renkaat Oyj to Tatneft PJSC for EUR 400.00M. The transaction was announced on 8/29/2022 and completed on 3/30/2023.
231607693,Halliburton Co,US,NPP Burservis AO,Management Group,2022-09-08,2022-09-08,Completed,M&A,100,full_interest_offered,196,0,,USD,,Halliburton Co sold NPP Burservis AO to Management Group. The transaction was completed on 9/8/2022. Financial terms of the transaction are undisclosed.
231644080,Traton SE,DE,Russian Auto Dealership Business/MAN Truck & Bus SE,Unnamed Buyer,2022-09-13,2023-03-31,Pending,AST,100,full_interest_offered,400,199,,EUR,,Traton SE announced the sale of Russian Auto Dealership Business/MAN Truck & Bus SE to Unnamed Buyer. The transaction was announced on 9/13/2022 and is expected to be completed by 3/31/2023. Financial terms of the transaction are undisclosed.
231651215,Mirainovate Co Ltd,JP,RFP Drevesnyye Granuly OOO,Dallesprom OOO,2022-09-14,2022-09-14,Completed,M&A,49,shared_interest_offered,202,0,,JPY,,Mirainovate Co Ltd sold RFP Drevesnyye Granuly OOO to Dallesprom OOO. The transaction was completed on 9/14/2022. Financial terms of the transaction are undisclosed.
231705425,Bunge Global SA,US,Russia Oilseed Processing Plant and Business/Bunge Ltd,Private Investor,2022-09-19,2023-02-07,Completed,AST,100,full_interest_offered,348,141,,USD,,Bunge Global SA sold Russia Oilseed Processing Plant and Business/Bunge Ltd to Private Investor. The transaction was announced on 9/19/2022 and completed on 2/7/2023. Financial terms of the transaction are undisclosed.
231737452,Ball Corp,US,Beverage packaging unit/Russia,DKK Zao,2022-09-22,2022-09-22,Completed,AST,100,full_interest_offered,210,0,530,USD,Current/Completed Total Value,Ball Corp sold Beverage packaging unit/Russia to DKK Zao for USD 530.00M. The transaction was completed on 9/22/2022.
231782680,Teknos Group Oy,FI,Talatu OOO,Unnamed Buyer,2022-03-31,2022-07-11,Completed,M&A,100,full_interest_offered,137,102,,EUR,,Teknos Group Oy sold Talatu OOO to Unnamed Buyer. The transaction was announced on 3/31/2022 and completed on 7/11/2022. Financial terms of the transaction are undisclosed.
231885699,GB Foods Europa SL/The,ES,Russia business/GB Foods Europa,Samyoung System Co Ltd,2022-10-05,2022-10-05,Completed,AST,100,full_interest_offered,223,0,,KRW,,GB Foods Europa SL/The sold Russia business/GB Foods Europa to Samyoung System Co Ltd. The transaction was completed on 10/5/2022. Financial terms of the transaction are undisclosed.
231922575,Nissan Motor Co Ltd,JP,Avtozavod Sankt-Peterburg OOO,Nami Fgup,2022-10-11,2022-11-24,Completed,M&A,100,full_interest_offered,273,44,0,EUR,Current/Completed Total Value,Nissan Motor Co Ltd sold Avtozavod Sankt-Peterburg OOO to Nami Fgup for EUR 0.00M. The transaction was announced on 10/11/2022 and completed on 11/24/2022.
231959654,Danone SA,FR,Russian operations/Danone,Vamin Tatarstan OAO,2024-03-23,2024-05-17,Completed,AST,100,full_interest_offered,813,55,,EUR,,Danone SA sold Russian operations/Danone to Vamin Tatarstan OAO. The transaction was announced on 3/23/2024 and completed on 5/17/2024. Financial terms of the transaction are undisclosed.
231969494,Aspo Oyj,FI,Telko OOO,TD Khimik AO,2022-10-17,2023-04-19,Completed,M&A,100,full_interest_offered,419,184,10.42,EUR,Current/Completed Total Value,Aspo Oyj sold Telko OOO to TD Khimik AO for EUR 9.50M. The transaction was announced on 10/17/2022 and completed on 4/19/2023.
231982439,Hyundai Motor Co,KR,Manufacturing plant/Russia,Potential Buyer,2022-10-18,2023-04-18,Withdrawn,AST,100,full_interest_offered,418,182,,EUR,,Hyundai Motor Co announced the sale of Manufacturing plant/Russia to Potential Buyer. Financial terms of the transaction are undisclosed.
231994004,Volvo AB,SE,Welding & painting operations/Russia,Private Investor,2022-10-19,2023-09-08,Completed,AST,100,full_interest_offered,561,324,,SEK,,Volvo AB sold Welding & painting operations/Russia to Private Investor. The transaction was announced on 10/19/2022 and completed on 9/8/2023. Financial terms of the transaction are undisclosed.
232051591,Industria de Diseno Textil SA,ES,Portfolio of Zara Stores/ Russia,Azadea Sal,2022-10-25,,Pending,AST,100,full_interest_offered,,,,USD,,Industria de Diseno Textil SA announced the sale of Portfolio of Zara Stores/ Russia to Azadea Sal. The transaction was announced on 10/25/2022 and is currently pending. Financial terms of the transaction are undisclosed.
232059938,MH Alshaya,KW,Business of Mothercare / Russia,Private Investor,2022-10-26,2023-04-26,Withdrawn,AST,,unclassified,426,182,,GBP,,MH Alshaya announced the sale of Business of Mothercare / Russia to Private Investor. Financial terms of the transaction are undisclosed.
232103323,Bridgestone Corp,JP,Russian Assets/Bridgestone Corp,Potential Buyer,2022-10-31,2023-05-01,Withdrawn,AST,100,full_interest_offered,431,182,,RUB,,Bridgestone Corp announced the sale of Russian Assets/Bridgestone Corp to Potential Buyer. Financial terms of the transaction are undisclosed.
232188383,Harvia Oyj,FI,Premiyum-SPA-Tekhnologii OOO,Private Investor,2022-11-07,,Pending,M&A,80,shared_interest_offered,,,,EUR,,Harvia Oyj announced the sale of Premiyum-SPA-Tekhnologii OOO to Private Investor. The transaction was announced on 11/7/2022 and is currently pending. Financial terms of the transaction are undisclosed.
232266745,Orsu Metals Corp,GB,Sergeevskoe gold project/Russia,Unnamed Buyer,2022-11-14,2022-11-14,Completed,AST,90,shared_interest_offered,263,0,,CAD,,Orsu Metals Corp sold Sergeevskoe gold project/Russia to Unnamed Buyer. The transaction was completed on 11/14/2022. Financial terms of the transaction are undisclosed.
232478058,AmRest Holdings SE,ES,KFC Russia Restaurant Business'/AMREST HOLDINGS,Almira OOO,2022-12-06,2023-05-15,Completed,AST,100,full_interest_offered,445,160,108.79,EUR,Current/Completed Total Value,AmRest Holdings SE sold KFC Russia Restaurant Business'/AMREST HOLDINGS to Almira OOO for EUR 100.00M. The transaction was announced on 12/6/2022 and completed on 5/15/2023.
232569147,Holcim AG,CH,Business/Russia,Unnamed Buyer,2022-12-14,,Pending,AST,100,full_interest_offered,,,,RUB,,Holcim AG announced the sale of Business/Russia to Unnamed Buyer. The transaction was announced on 12/14/2022 and is currently pending. Financial terms of the transaction are undisclosed.
232572481,Shell PLC,GB,Salym Petroleum Development NV,Gazprom Neft PJSC,2022-12-13,2023-06-13,Withdrawn,M&A,50,shared_interest_offered,474,182,,RUB,,Shell PLC announced the sale of Salym Petroleum Development NV to Gazprom Neft PJSC. Financial terms of the transaction are undisclosed.
232585383,Telefonaktiebolaget LM Ericsson,SE,Local customer support business/Russia,Unnamed Buyer,2022-12-15,,Pending,AST,100,full_interest_offered,,,,RUB,,Telefonaktiebolaget LM Ericsson announced the sale of Local customer support business/Russia to Unnamed Buyer. The transaction was announced on 12/15/2022 and is currently pending. Financial terms of the transaction are undisclosed.
232585413,Mondi PLC,GB,3 Russian packaging converting operations/MONDI PLC,GOTEC Gorschlueter GmbH,2022-12-15,2023-07-03,Completed,AST,100,full_interest_offered,494,200,17.94,RUB,Current/Completed Total Value,Mondi PLC sold 3 Russian packaging converting operations/MONDI PLC to GOTEC Gorschlueter GmbH for RUB 1600.00M. The transaction was announced on 12/15/2022 and completed on 7/3/2023.
232666845,Renault SA,FR,Russian assets of Renault,Russian Federation,2022-05-16,2022-05-16,Completed,AST,100,full_interest_offered,81,0,,RUB,,Renault SA sold Russian assets of Renault to Russian Federation. The transaction was completed on 5/16/2022. Financial terms of the transaction are undisclosed.
232683462,Sylvamo Corp,US,Russian operations/Sylvamo,Pulp Invest LLC,2022-10-06,2022-10-06,Completed,AST,100,full_interest_offered,224,0,390,USD,Current/Completed Total Value,Sylvamo Corp sold Russian operations/Sylvamo to Pulp Invest LLC for USD 390.00M. The transaction was completed on 10/6/2022.
232862044,Highworld Investments Ltd/Cyprus,CY,HeadHunter Group PLC,Kismet Capital Group,2023-01-11,2023-01-11,Completed,INV,22.68,shared_interest_offered,321,0,,EUR,,Highworld Investments Ltd/Cyprus sold a minority stake in HeadHunter Group PLC to Kismet Capital Group. The transaction was completed on 1/11/2023. Financial terms of the transaction are undisclosed.
232869061,Suzhou Yangtze New Materials Co Ltd,CN,United New Material Co Ltd,China Minsheng Future Holdings Group Co Ltd,2023-03-08,2023-03-31,Completed,M&A,51,shared_interest_offered,400,23,1.47,CNY,Current/Completed Total Value,Suzhou Yangtze New Materials Co Ltd sold United New Material Co Ltd to China Minsheng Future Holdings Group Co Ltd for CNY 10.10M. The transaction was announced on 3/8/2023 and completed on 3/31/2023.
232895066,USM Telecom Holdings Ltd,VG,Neksayn AO,MegaFon PJSC,2023-01-16,2023-01-16,Completed,M&A,100,full_interest_offered,326,0,,RUB,,USM Telecom Holdings Ltd sold Neksayn AO to MegaFon PJSC. The transaction was completed on 1/16/2023. Financial terms of the transaction are undisclosed.
232897127,Euroins Insurance Group AD,BG,"Insurance business/Belarus,Insurance business/Russia",Unnamed Buyer,2023-01-16,,Pending,AST,100,full_interest_offered,,,,EUR,,Euroins Insurance Group AD announced the sale of Insurance business/Belarus & Insurance business/Russia to Unnamed Buyer. The transaction was announced on 1/16/2023 and is currently pending. Financial terms of the transaction are undisclosed.
232981079,Legrand SA,FR,Russian Operations/Legrand,IEK OOO,2023-10-12,2023-10-12,Completed,AST,100,full_interest_offered,595,0,,EUR,,Legrand SA sold Russian Operations/Legrand to IEK OOO. The transaction was completed on 10/12/2023. Financial terms of the transaction are undisclosed.
233039286,Hitachi Ltd,JP,Russian business/Hitachi Energy AG,Management Group,2023-01-31,2023-01-31,Completed,AST,100,full_interest_offered,341,0,,RUB,,Hitachi Ltd sold Russian business/Hitachi Energy AG to Management Group. The transaction was completed on 1/31/2023. Financial terms of the transaction are undisclosed.
233054249,Hitachi Ltd,JP,Russia business,Unnamed Buyer,2023-01-31,2023-01-31,Completed,AST,100,full_interest_offered,341,0,,JPY,,Hitachi Ltd sold Russia business to Unnamed Buyer. The transaction was completed on 1/31/2023. Financial terms of the transaction are undisclosed.
233080924,Shell PLC,GB,Salym Petroleum Development NV,Gazprom Neft PJSC,2023-02-02,,Pending,INV,50,shared_interest_offered,,,,RUB,,Shell PLC announced the sale of a minority stake in Salym Petroleum Development NV to Gazprom Neft PJSC. The transaction was announced on 2/2/2023 and is currently pending. Financial terms of the transaction are undisclosed.
233225203,Goldman Sachs Group Inc/The,US,Cian PLC,Unnamed Buyer,2023-02-16,2023-02-16,Completed,INV,10.1,shared_interest_offered,357,0,,USD,,Goldman Sachs Group Inc/The sold a minority stake in Cian PLC to Unnamed Buyer. The transaction was completed on 2/16/2023. Financial terms of the transaction are undisclosed.
233226005,Stichting INGKA Foundation,NL,3 factories/Russia,"Sloteks AO,Luzales OOO",2023-02-16,2023-03-27,Completed,AST,100,full_interest_offered,396,39,,RUB,,Stichting INGKA Foundation sold 3 factories/Russia to a consortium led by Sloteks AO. The transaction was announced on 2/16/2023 and completed on 3/27/2023. Financial terms of the transaction are undisclosed.
233239846,Stichting INGKA Foundation,NL,2 million sq m m of real estate/Russia,Potential Buyer,2023-02-17,2023-08-17,Withdrawn,AST,100,full_interest_offered,539,181,,RUB,,Stichting INGKA Foundation announced the sale of 2 million sq m m of real estate/Russia to Potential Buyer. Financial terms of the transaction are undisclosed.
233257922,PJV Digital Forces Ltd,CY,RNKO VK Platozhnyye Resheniya OOO,VK IPJSC,2023-02-18,,Pending,M&A,100,full_interest_offered,,,,RUB,,PJV Digital Forces Ltd announced the sale of RNKO VK Platozhnyye Resheniya OOO to VK IPJSC. The transaction was announced on 2/18/2023 and is currently pending. Financial terms of the transaction are undisclosed.
233331512,Schaeffler AG,DE,Russian business/Schaeffler,Private Investor,2023-02-25,,Pending,AST,100,full_interest_offered,,,,RUB,,Schaeffler AG announced the sale of Russian business/Schaeffler to Private Investor. The transaction was announced on 2/25/2023 and is currently pending. Financial terms of the transaction are undisclosed.
233333512,Philip Morris International In,US,Russian assets/Philip Morris International Inc,Potential Buyer,2023-02-27,2023-08-28,Withdrawn,AST,100,full_interest_offered,550,182,,RUB,,Philip Morris International In announced the sale of Russian assets/Philip Morris International Inc to Potential Buyer. Financial terms of the transaction are undisclosed.
